,Unnamed: 0,issued time,user id,districts,organizer id
287,287,2020-02-18 10:11:00,2678,futian,85228
288,288,2020-02-18 10:11:00,2881,futian,85228
289,289,2020-02-18 10:11:00,3776,futian,85228
290,290,2020-02-18 10:11:00,4703,futian,85228
291,291,2020-02-18 10:11:00,4708,futian,85228
292,292,2020-02-18 10:11:00,6291,futian,85228
293,293,2020-02-18 10:11:00,6636,futian,85228
294,294,2020-02-18 10:11:00,2447,futian,85228
295,295,2020-02-18 10:12:00,757,futian,656
296,296,2020-02-18 10:12:00,694,futian,656
297,297,2020-02-18 10:12:00,2574,futian,656
298,298,2020-02-18 10:12:00,769,futian,656
299,299,2020-02-18 10:14:00,2590,futian,2346
300,300,2020-02-18 10:15:00,2479,longgang,2161
301,301,2020-02-18 10:15:00,2571,longgang,2161
302,302,2020-02-18 10:15:00,2683,longgang,2161
303,303,2020-02-18 10:15:00,2750,longgang,2161
304,304,2020-02-18 10:15:00,1924,futian,2164
305,305,2020-02-18 10:15:00,2485,futian,2164
306,306,2020-02-18 10:15:00,2530,futian,2164
307,307,2020-02-18 10:15:00,2548,futian,2164
308,308,2020-02-18 10:15:00,2582,futian,2164
309,309,2020-02-18 10:15:00,2606,futian,2164
310,310,2020-02-18 10:15:00,2514,longgang,2161
311,311,2020-02-18 10:15:00,3843,futian,2164
312,312,2020-02-18 10:15:00,2731,futian,2164
313,313,2020-02-18 10:15:00,2172,futian,1890
314,314,2020-02-18 10:15:00,2070,futian,1890
315,315,2020-02-18 10:15:00,6313,longgang,1428
316,316,2020-02-18 10:15:00,5952,longgang,1428
317,317,2020-02-18 10:15:00,2155,futian,1890
318,318,2020-02-18 10:15:00,3222,longgang,1428
319,319,2020-02-18 10:15:00,13815,futian,2164
320,320,2020-02-18 10:15:00,5252,futian,2164
321,321,2020-02-18 10:15:00,4402,futian,2164
322,322,2020-02-18 10:15:00,3975,longgang,1428
323,323,2020-02-18 10:16:00,3147,futian,1788
324,324,2020-02-18 10:16:00,2604,futian,147
325,325,2020-02-18 10:16:00,2330,futian,1788
326,326,2020-02-18 10:16:00,1968,futian,1788
327,327,2020-02-18 10:16:00,5303,futian,147
328,328,2020-02-18 10:16:00,4676,futian,147
329,329,2020-02-18 10:16:00,2978,futian,147
330,330,2020-02-18 10:16:00,2781,futian,147
331,331,2020-02-18 10:16:00,2543,futian,147
332,332,2020-02-18 10:16:00,1802,futian,431
333,333,2020-02-18 10:16:00,2506,futian,147
334,334,2020-02-18 10:16:00,889,futian,147
335,335,2020-02-18 10:16:00,6668,futian,431
336,336,2020-02-18 10:16:00,2068,futian,431
337,337,2020-02-18 10:16:00,2610,longgang,2358
338,338,2020-02-18 10:16:00,2526,longgang,2358
339,339,2020-02-18 10:16:00,2507,longgang,2358
340,340,2020-02-18 10:16:00,2484,longgang,2358
341,341,2020-02-18 10:16:00,2138,longgang,2358
342,342,2020-02-18 10:16:00,3638,futian,1788
343,343,2020-02-18 10:16:00,2512,futian,147
344,344,2020-02-18 10:16:00,6288,futian,1788
345,345,2020-02-18 10:16:00,2467,luohu,2322
346,346,2020-02-18 10:16:00,6802,futian,1788
347,347,2020-02-18 10:16:00,6157,futian,1976
348,348,2020-02-18 10:16:00,6288,futian,1788
349,349,2020-02-18 10:16:00,5215,futian,1976
350,350,2020-02-18 10:16:00,4935,futian,1976
351,351,2020-02-18 10:16:00,3742,futian,1976
352,352,2020-02-18 10:16:00,2858,futian,1976
353,353,2020-02-18 10:16:00,2858,futian,1976
354,354,2020-02-18 10:16:00,2744,futian,1976
355,355,2020-02-18 10:16:00,2721,futian,1976
356,356,2020-02-18 10:16:00,2721,futian,1976
357,357,2020-02-18 10:16:00,5921,futian,1976
358,358,2020-02-18 10:16:00,3987,luohu,2322
359,359,2020-02-18 10:16:00,3970,luohu,2322
360,360,2020-02-18 10:16:00,3827,luohu,2322
361,361,2020-02-18 10:16:00,3655,luohu,2322
362,362,2020-02-18 10:16:00,2974,luohu,2322
363,363,2020-02-18 10:16:00,2575,luohu,2322
364,364,2020-02-18 10:16:00,2568,luohu,2322
365,365,2020-02-18 10:16:00,2489,luohu,2322
366,366,2020-02-18 10:16:00,2205,luohu,2322
367,367,2020-02-18 10:16:00,2576,futian,1976
368,368,2020-02-18 10:17:00,2475,longgang,2365
369,369,2020-02-18 10:17:00,2496,longgang,2283
370,370,2020-02-18 10:17:00,2486,longgang,2283
371,371,2020-02-18 10:18:00,2684,futian,2154
372,372,2020-02-18 10:18:00,2732,futian,2154
373,373,2020-02-18 10:18:00,7802,futian,2154
374,374,2020-02-18 10:18:00,5136,futian,2154
375,375,2020-02-18 10:18:00,13352,futian,2154
376,376,2020-02-18 10:18:00,2775,futian,2154
377,377,2020-02-18 10:19:00,612,futian,446
378,378,2020-02-18 10:19:00,611,futian,446
379,379,2020-02-18 10:21:00,2315,yantian,2383
380,380,2020-02-18 10:23:00,10944,guangming,2328
381,381,2020-02-18 10:23:00,2792,futian,2378
382,382,2020-02-18 10:23:00,2780,futian,2378
383,383,2020-02-18 10:23:00,2726,futian,2378
384,384,2020-02-18 10:23:00,2686,futian,2378
385,385,2020-02-18 10:23:00,10858,guangming,2328
386,386,2020-02-18 10:23:00,2920,futian,2378
387,387,2020-02-18 10:23:00,10232,guangming,2328
388,388,2020-02-18 10:23:00,10147,guangming,2328
389,389,2020-02-18 10:23:00,4120,guangming,2328
390,390,2020-02-18 10:23:00,2562,guangming,2328
391,391,2020-02-18 10:23:00,1619,guangming,2328
392,392,2020-02-18 10:23:00,1619,guangming,2328
393,393,2020-02-18 10:23:00,10333,guangming,2328
394,394,2020-02-18 10:23:00,2990,futian,2378
395,395,2020-02-18 10:23:00,2938,futian,2378
396,396,2020-02-18 10:23:00,3010,futian,2378
397,397,2020-02-18 10:23:00,5632,futian,84600
398,398,2020-02-18 10:23:00,5601,futian,84600
399,399,2020-02-18 10:23:00,5589,futian,84600
400,400,2020-02-18 10:23:00,5008,futian,84600
401,401,2020-02-18 10:23:00,4681,futian,84600
402,402,2020-02-18 10:23:00,2591,futian,84600
403,403,2020-02-18 10:23:00,2500,futian,84600
404,404,2020-02-18 10:23:00,4834,futian,84600
405,405,2020-02-18 10:23:00,2579,yantian,394
406,406,2020-02-18 10:23:00,2857,longgang,2379
407,407,2020-02-18 10:23:00,2745,longgang,2379
408,408,2020-02-18 10:23:00,2710,longgang,2379
409,409,2020-02-18 10:23:00,2690,longgang,2379
410,410,2020-02-18 10:23:00,2670,longgang,2379
411,411,2020-02-18 10:23:00,1974,futian,84600
412,412,2020-02-18 10:24:00,3203,luohu,2531
413,413,2020-02-18 10:24:00,2593,luohu,2531
414,414,2020-02-18 10:24:00,2618,luohu,2531
415,415,2020-02-18 10:24:00,2641,luohu,2531
416,416,2020-02-18 10:24:00,2660,luohu,2531
417,417,2020-02-18 10:24:00,2661,luohu,2531
418,418,2020-02-18 10:24:00,4288,luohu,2531
419,419,2020-02-18 10:24:00,3466,luohu,2531
420,420,2020-02-18 10:24:00,3214,longgang,2428
421,421,2020-02-18 10:24:00,3550,longgang,2428
422,422,2020-02-18 10:24:00,5163,longgang,2428
423,423,2020-02-18 10:24:00,1806,futian,1369
424,424,2020-02-18 10:24:00,1861,futian,1369
425,425,2020-02-18 10:24:00,1882,futian,1369
426,426,2020-02-18 10:24:00,1884,futian,1369
427,427,2020-02-18 10:24:00,3122,longgang,2428
428,428,2020-02-18 10:25:00,6626,longgang,2539
429,429,2020-02-18 10:25:00,6634,longgang,2539
430,430,2020-02-18 10:25:00,6750,longgang,2539
431,431,2020-02-18 10:25:00,7091,longgang,2539
432,432,2020-02-18 10:25:00,331,futian,797
433,433,2020-02-18 10:25:00,7742,futian,797
434,434,2020-02-18 10:26:00,8749,guangming,1869
435,435,2020-02-18 10:26:00,4150,guangming,1869
436,436,2020-02-18 10:26:00,2876,guangming,1869
437,437,2020-02-18 10:26:00,9210,longhua,2131
438,438,2020-02-18 10:26:00,5592,longhua,2131
439,439,2020-02-18 10:27:00,2709,longgang,2541
440,440,2020-02-18 10:27:00,2675,longgang,2541
441,441,2020-02-18 10:27:00,2760,longgang,2541
442,442,2020-02-18 10:27:00,2906,guangming,2463
443,443,2020-02-18 10:27:00,2179,longgang,2541
444,444,2020-02-18 10:27:00,3144,longgang,2541
445,445,2020-02-18 10:27:00,3542,shenshan,2437
446,446,2020-02-18 10:27:00,3478,longgang,2541
447,447,2020-02-18 10:27:00,2859,longgang,2110
448,448,2020-02-18 10:27:00,3545,shenshan,2437
449,449,2020-02-18 10:27:00,2788,longgang,2110
450,450,2020-02-18 10:27:00,2831,longgang,2110
451,451,2020-02-18 10:27:00,3372,longgang,2541
452,452,2020-02-18 10:28:00,2669,shenshan,2561
453,453,2020-02-18 10:29:00,2867,longgang,2535
454,454,2020-02-18 10:29:00,3215,longgang,2535
455,455,2020-02-18 10:29:00,3283,longgang,2535
456,456,2020-02-18 10:29:00,3286,longgang,2535
457,457,2020-02-18 10:29:00,84649,longgang,2535
458,458,2020-02-18 10:29:00,2703,longgang,2587
459,459,2020-02-18 10:29:00,2718,longgang,2587
460,460,2020-02-18 10:29:00,2770,longgang,2587
461,461,2020-02-18 10:29:00,2783,longgang,2587
