,Follower,Followee,Weight
575,1187,4244,1
576,4095,4245,1
577,3483,4252,1
578,2472,4268,1
579,4033,4269,1
580,1995,4277,1
581,4405,4282,1
582,2661,4288,1
583,2610,4297,1
584,5750,4302,1
585,3105,4305,1
586,4095,4307,1
587,3110,4308,1
588,6782,4312,1
589,3732,4331,1
590,3105,4342,1
591,3923,4344,1
592,3483,4367,1
593,2332,4382,1
594,545,4387,1
595,3843,4402,1
596,4282,4405,1
597,5382,4418,1
598,5382,4433,1
599,4509,4437,1
600,3732,4481,1
601,8268,4492,1
602,6128,4509,1
603,3483,4535,1
604,3262,4546,1
605,5382,4559,1
606,4686,4563,1
607,545,4580,1
608,3449,4594,1
609,3095,4596,1
610,8128,4605,1
611,3483,4619,1
612,5382,4648,1
613,8268,4662,1
614,3095,4663,1
615,5382,4670,1
616,3755,4674,1
617,2407,4675,1
618,2781,4676,1
619,5008,4681,1
620,4302,4686,1
621,545,4687,1
622,3614,4696,1
623,2460,4703,1
624,2460,4708,1
625,5376,4715,1
626,4302,4723,1
627,5376,4724,1
628,5376,4728,1
629,5376,4737,1
630,5376,4738,1
631,4675,4744,1
632,5376,4774,1
633,5376,4785,1
634,5376,4787,1
635,545,4796,1
636,5320,4803,1
637,2472,4820,1
638,2157,4826,1
639,5008,4834,1
640,5376,4892,1
641,5376,4895,1
642,4563,4902,1
643,84649,4911,1
644,5215,4935,1
645,4331,4941,1
646,5220,4996,1
647,5632,5008,1
648,6651,5020,1
649,5801,5026,1
650,2908,5093,1
651,7610,5111,1
652,6651,5129,1
653,2775,5136,1
654,5382,5162,1
655,3122,5163,1
656,5382,5164,1
657,6651,5172,1
658,5353,5179,1
659,6651,5213,1
660,6157,5215,1
661,5320,5216,1
662,4996,5220,1
663,2731,5252,1
664,5382,5256,1
665,2045,5278,1
666,5216,5285,1
667,5382,5296,1
668,4676,5303,1
669,5382,5304,1
670,2775,5315,1
671,5216,5320,1
672,6651,5326,1
673,5179,5353,1
674,5320,5373,1
675,5382,5376,1
676,4559,5382,1
677,6717,5385,1
678,7376,5419,1
679,6717,5446,1
680,2472,5480,1
681,2391,5482,1
682,5008,5589,1
683,9210,5592,1
684,5616,5595,1
685,7699,5599,1
686,5008,5601,1
687,5871,5616,1
688,5008,5632,1
689,5616,5658,1
690,6717,5668,1
691,5801,5682,1
692,7374,5690,1
693,5616,5706,1
694,5616,5720,1
695,3917,5728,1
696,4686,5750,1
697,6651,5776,1
698,3577,5800,1
699,6284,5801,1
700,2391,5861,1
701,5896,5871,1
702,6651,5892,1
703,5871,5896,1
704,5861,5917,1
705,5215,5921,1
706,3222,5952,1
707,6607,5990,1
708,7374,6017,1
709,5373,6046,1
710,6651,6071,1
711,7376,6105,1
712,4509,6111,1
713,4509,6128,1
714,5215,6157,1
715,7699,6184,1
716,4559,6187,1
717,3917,6222,1
718,5373,6235,1
719,4559,6249,1
720,3644,6266,1
721,6651,6273,1
722,6286,6284,1
723,12776,6286,1
724,1848,6288,1
725,3776,6291,1
726,2472,6305,1
727,3222,6313,1
728,6651,6343,1
729,6718,6374,1
730,6718,6377,1
731,2057,6394,1
732,6284,6406,1
733,2472,6421,1
734,6718,6441,1
735,2057,6462,1
736,6284,6463,1
737,6718,6502,1
738,12386,6514,1
739,1351,6567,1
740,2523,6599,1
741,2024,6607,1
742,6718,6609,1
743,5750,6613,1
744,6750,6626,1
745,6750,6634,1
746,3776,6636,1
747,5213,6651,1
748,6751,6654,1
749,6751,6656,1
750,1802,6668,1
751,6751,6678,1
752,5385,6717,1
753,6502,6718,1
754,48,6734,1
